"Name","DisplayName","DependentServices","Description"
"DsSvc","Data Sharing Service","System.ServiceProcess.ServiceController[]","Provides data brokering between applications."
"DusmSvc","Data Usage","System.ServiceProcess.ServiceController[]","Network data usage, data limit, restrict background data, metered networks."
"EFS","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files."
"EventLog","Windows Event Log","System.ServiceProcess.ServiceController[]","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system."
"EventSystem","COM+ Event System","System.ServiceProcess.ServiceController[]","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start."
"Everything","Everything","System.ServiceProcess.ServiceController[]",
"fdPHost","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources."
"FDResPub","Function Discovery Resource Publication","System.ServiceProcess.ServiceController[]","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network."
"FontCache","Windows Font Cache Service","System.ServiceProcess.ServiceController[]","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance."
"GamingServices","Gaming Services","System.ServiceProcess.ServiceController[]","ms-resource:GamingServicesDisplayName"
"GamingServicesNet","Gaming Services","System.ServiceProcess.ServiceController[]","ms-resource:GamingServicesDisplayName"
"hidserv","Human Interface Device Service","System.ServiceProcess.ServiceController[]","Activates and maintains the use of hot buttons on keyboards, remote controls and other multimedia devices. It is recommended that you keep this service running."
"hns","Host Network Service","System.ServiceProcess.ServiceController[]","Provides support for Windows Virtual Networks."
"HvHost","HV Host Service","System.ServiceProcess.ServiceController[]","Provides an interface for the Hyper-V hypervisor to provide per-partition performance counters to the host operating system."
"IAStorDataMgrSvc","Intel(R) Rapid Storage Technology","System.ServiceProcess.ServiceController[]","Provides storage event notification and manages communication between the storage driver and user space applications."
"InstallService","Microsoft Store Install Service","System.ServiceProcess.ServiceController[]","Provides infrastructure support for the Microsoft Store. This service is started on demand, and if disabled then installations will not function properly."
"Intel(R) PROSet Monitoring Service","Intel(R) PROSet Monitoring Service","System.ServiceProcess.ServiceController[]","The Intel(R) PROSet Monitoring Service actively monitors changes to the system and updates affected network devices to keep them running in optimal condition.  Stopping this service may negatively affect the performance of the network devices on the system."
"iphlpsvc","IP Helper","System.ServiceProcess.ServiceController[]","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer."
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","System.ServiceProcess.ServiceController[]","Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL"
"KeyIso","CNG Key Isolation","System.ServiceProcess.ServiceController[]","The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requirements."
"LanmanServer","Server","System.ServiceProcess.ServiceController[]","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"LanmanWorkstation","Workstation","System.ServiceProcess.ServiceController[]","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"lfsvc","Geolocation Service","System.ServiceProcess.ServiceController[]","This service monitors the current location of the system and manages geofences (a geographical location with associated events).  If you turn off this service, applications will be unable to use or receive notifications for geolocation or geofences."
"LGHUBUpdaterService","LGHUB Updater Service","System.ServiceProcess.ServiceController[]",
"LicenseManager","Windows License Manager Service","System.ServiceProcess.ServiceController[]","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then content acquired through the Microsoft Store will not function properly."
"LightingService","LightingService","System.ServiceProcess.ServiceController[]",
"lmhosts","TCP/IP NetBIOS Helper","System.ServiceProcess.ServiceController[]","Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"LMS","Intel(R) Management and Security Application Local Management Service","System.ServiceProcess.ServiceController[]","Intel(R) Management and Security Application Local Management Service - Provides OS-related Intel(R) ME functionality."
"LSM","Local Session Manager","System.ServiceProcess.ServiceController[]","Core Windows Service that manages local user sessions. Stopping or disabling this service will result in system instability."
"mpssvc","Windows Defender Firewall",,"Windows Defender Firewall helps to protect your computer by preventing unauthorised users from gaining access to your computer through the Internet or a network."
"NcbService","Network Connection Broker","System.ServiceProcess.ServiceController[]","Brokers connections that allow Windows Store Apps to receive notifications from the internet."
"NcdAutoSetup","Network Connected Devices Auto-Setup","System.ServiceProcess.ServiceController[]","Network Connected Devices Auto-Setup service monitors and installs qualified devices that connect to a qualified network. Stopping or disabling this service will prevent Windows from discovering and installing qualified network connected devices automatically. Users can still manually add network connected devices to a PC through the user interface."
"nebula","Logitech Video Camera Service","System.ServiceProcess.ServiceController[]",
"netprofm","Network List Service","System.ServiceProcess.ServiceController[]","Identifies the networks the computer has connected to, collects and stores properties for these networks, and notifies applications when these properties change."
"NetSetupSvc","Network Setup Service","System.ServiceProcess.ServiceController[]","The Network Setup Service manages the installation of network drivers and permits the configuration of low-level network settings. If this service is stopped, any driver installations that are in progress may be cancelled."
"NgcCtnrSvc","Microsoft Passport Container",,"Manages local user identity keys used to authenticate the user to identity providers, as well as TPM virtual smart cards. If this service is disabled, local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service."
"NgcSvc","Microsoft Passport",,"Provides process isolation for cryptographic keys used to provide authentication to a user’s associated identity providers. If this service is disabled, all uses and management of these keys will not be available, which includes machine log-on and single sign-on for apps and websites. This service starts and stops automatically. It is recommended that you do not reconfigure this service."
"NlaSvc","Network Location Awareness","System.ServiceProcess.ServiceController[]","Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped, configuration information might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"nordvpn-service","nordvpn-service","System.ServiceProcess.ServiceController[]",
"nsi","Network Store Interface Service","System.ServiceProcess.ServiceController[]","This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled, any other services that explicitly depend on this service will fail to start."
"nvagent","Network Virtualization Service","System.ServiceProcess.ServiceController[]","Provides network virtualization services."
"NvBroadcast.ContainerLocalSystem","NVIDIA Broadcast LocalSystem Container","System.ServiceProcess.ServiceController[]","Container service for NVIDIA Broadcast features"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","System.ServiceProcess.ServiceController[]","Container service for NVIDIA root features"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","System.ServiceProcess.ServiceController[]","Container service for NVIDIA root features"
"OneSyncSvc_11153f","OneSyncSvc_11153f","System.ServiceProcess.ServiceController[]","This service synchronizes mail, contacts, calendar and various other user data. Mail and other applications dependent on this functionality will not work properly when this service is not running."
"Origin Client Service","Origin Client Service","System.ServiceProcess.ServiceController[]",
"Origin Web Helper Service","Origin Web Helper Service","System.ServiceProcess.ServiceController[]",
"PcaSvc","Program Compatibility Assistant Service","System.ServiceProcess.ServiceController[]","This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped, PCA will not function properly."
"PhoneSvc","Phone Service","System.ServiceProcess.ServiceController[]","Manages the telephony state on the device"
"PimIndexMaintenanceSvc_11153f","PimIndexMaintenanceSvc_11153f","System.ServiceProcess.ServiceController[]","Indexes contact data for fast contact searching. If you stop or disable this service, contacts might be missing from your search results."
"PlugPlay","Plug and Play","System.ServiceProcess.ServiceController[]","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability."
"PnkBstrA","PnkBstrA","System.ServiceProcess.ServiceController[]","PunkBuster Service Component [v1041] http://www.evenbalance.com"
"PolicyAgent","IPsec Policy Agent","System.ServiceProcess.ServiceController[]","Internet Protocol security (IPsec) supports network-level peer authentication, data origin authentication, data integrity, data confidentiality (encryption), and replay protection.  This service enforces IPsec policies created through the IP Security Policies snap-in or the command-line tool ""netsh ipsec"".  If you stop this service, you may experience network connectivity issues if your policy requires that connections use IPsec.  Also,remote management of Windows Defender Firewall is not available when this service is stopped."
"Power","Power","System.ServiceProcess.ServiceController[]","Manages power policy and power policy notification delivery."
"ProfSvc","User Profile Service","System.ServiceProcess.ServiceController[]","This service is responsible for loading and unloading user profiles. If this service is stopped or disabled, users will no longer be able to successfully sign in or sign out, apps might have problems getting to users' data, and components registered to receive profile event notifications won't receive them."
"RasMan","Remote Access Connection Manager","System.ServiceProcess.ServiceController[]","Manages dial-up and virtual private network (VPN) connections from this computer to the Internet or other remote networks. If this service is disabled, any services that explicitly depend on it will fail to start."
"RmSvc","Radio Management Service","System.ServiceProcess.ServiceController[]","Radio Management and Airplane Mode Service"
"ROG Live Service","ROG Live Service","System.ServiceProcess.ServiceController[]",
"RpcEptMapper","RPC Endpoint Mapper",,"Resolves RPC interfaces identifiers to transport endpoints. If this service is stopped or disabled, programs using Remote Procedure Call (RPC) services will not function properly."
"RpcSs","Remote Procedure Call (RPC)",,"The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running."
"RtkBtManServ","Realtek Bluetooth Device Manager Service","System.ServiceProcess.ServiceController[]",
"SamSs","Security Accounts Manager","System.ServiceProcess.ServiceController[]","The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled."
"Schedule","Task Scheduler","System.ServiceProcess.ServiceController[]","Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start."
"seclogon","Secondary Log-on","System.ServiceProcess.ServiceController[]","Enables starting processes under alternate credentials. If this service is stopped, this type of log-on access will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"SecurityHealthService","Windows Security Service","System.ServiceProcess.ServiceController[]","Windows Security Service handles unified device protection and health information"
"SENS","System Event Notification Service","System.ServiceProcess.ServiceController[]","Monitors system events and notifies subscribers to COM+ Event System of these events."
"SessionEnv","Remote Desktop Configuration","System.ServiceProcess.ServiceController[]","Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders, RD themes, and RD certificates."
"SgrmBroker","System Guard Runtime Monitor Broker","System.ServiceProcess.ServiceController[]","Monitors and attests to the integrity of the Windows platform."
"SharedAccess","Internet Connection Sharing (ICS)","System.ServiceProcess.ServiceController[]","Provides network address translation, addressing, name resolution and/or intrusion prevention services for a home or small office network."
"ShellHWDetection","Shell Hardware Detection","System.ServiceProcess.ServiceController[]","Provides notifications for AutoPlay hardware events."
"Spooler","Print Spooler","System.ServiceProcess.ServiceController[]","This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won’t be able to print or see your printers."
"SQLWriter","SQL Server VSS Writer","System.ServiceProcess.ServiceController[]","Provides the interface to backup/restore Microsoft SQL server through the Windows VSS infrastructure."
"SSDPSRV","SSDP Discovery","System.ServiceProcess.ServiceController[]","Discovers networked devices and services that use the SSDP discovery protocol, such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped, SSDP-based devices will not be discovered. If this service is disabled, any services that explicitly depend on it will fail to start."
"sshd","OpenSSH SSH Server","System.ServiceProcess.ServiceController[]","SSH protocol based service to provide secure encrypted communications between two untrusted hosts over an insecure network."
"SstpSvc","Secure Socket Tunneling Protocol Service","System.ServiceProcess.ServiceController[]","Provides support for the Secure Socket Tunneling Protocol (SSTP) to connect to remote computers using VPN. If this service is disabled, users will not be able to use SSTP to access remote servers."
"StateRepository","State Repository Service","System.ServiceProcess.ServiceController[]","Provides required infrastructure support for the application model."
"Steam Client Service","Steam Client Service","System.ServiceProcess.ServiceController[]","Steam Client Service monitors and updates Steam content"
"stisvc","Windows Image Acquisition (WIA)","System.ServiceProcess.ServiceController[]","Provides image acquisition services for scanners and cameras"
"StorSvc","Storage Service","System.ServiceProcess.ServiceController[]","Provides enabling services for storage settings and external storage expansion"
"SysMain","SysMain","System.ServiceProcess.ServiceController[]","Maintains and improves system performance over time."
"SystemEventsBroker","System Events Broker",,"Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered."
"TabletInputService","Touch Keyboard and Handwriting Panel Service","System.ServiceProcess.ServiceController[]","Enables Touch Keyboard and Handwriting Panel pen and ink functionality"
"TermService","Remote Desktop Services","System.ServiceProcess.ServiceController[]","Allows users to connect interactively to a remote computer. Remote Desktop and Remote Desktop Session Host Server depend on this service.  To prevent remote use of this computer, clear the checkboxes on the Remote tab of the System properties control panel item."
"Themes","Themes","System.ServiceProcess.ServiceController[]","Provides user experience theme management."
"TimeBrokerSvc","Time Broker",,"Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered."
"TokenBroker","Web Account Manager","System.ServiceProcess.ServiceController[]","This service is used by Web Account Manager to provide single-sign-on to apps and services."
"TrkWks","Distributed Link Tracking Client","System.ServiceProcess.ServiceController[]","Maintains links between NTFS files within a computer or across computers in a network."
"UmRdpService","Remote Desktop Services UserMode Port Redirector","System.ServiceProcess.ServiceController[]","Allows the redirection of Printers/Drives/Ports for RDP connections"
"UnistoreSvc_11153f","UnistoreSvc_11153f","System.ServiceProcess.ServiceController[]","Handles storage of structured user data, including contact info, calendars, messages and other content. If you stop or disable this service, apps that use this data might not work correctly."
"UserDataSvc_11153f","UserDataSvc_11153f","System.ServiceProcess.ServiceController[]","Provides apps with access to structured user data, including contact info, calendars, messages and other content. If you stop or disable this service, apps that use this data might not work correctly."
"UserManager","User Manager","System.ServiceProcess.ServiceController[]","User Manager provides the runtime components required for multi-user interaction.  If this service is stopped, some applications may not operate correctly."
"UsoSvc","Update Orchestrator Service","System.ServiceProcess.ServiceController[]","Manages Windows Updates. If stopped, your devices will not be able to download and install the latest updates."
"VaultSvc","Credential Manager","System.ServiceProcess.ServiceController[]","Provides secure storage and retrieval of credentials to users, applications and security service packages."
"vmcompute","Hyper-V Host Compute Service","System.ServiceProcess.ServiceController[]","Provides support for running Windows Containers and Virtual Machines."
"vmms","Hyper-V Virtual Machine Management","System.ServiceProcess.ServiceController[]","Management service for Hyper-V, provides service to run multiple virtual machines."
"Wcmsvc","Windows Connection Manager","System.ServiceProcess.ServiceController[]","Makes automatic connect/disconnect decisions based on the network connectivity options currently available to the PC and enables management of network connectivity based on Group Policy settings."
"WdiServiceHost","Diagnostic Service Host","System.ServiceProcess.ServiceController[]","The Diagnostic Service Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local Service context.  If this service is stopped, any diagnostics that depend on it will no longer function."
"WdiSystemHost","Diagnostic System Host","System.ServiceProcess.ServiceController[]","The Diagnostic System Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local System context.  If this service is stopped, any diagnostics that depend on it will no longer function."
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","System.ServiceProcess.ServiceController[]","Helps guard against intrusion attempts targeting known and newly discovered vulnerabilities in network protocols"
"WebClient","WebClient","System.ServiceProcess.ServiceController[]","Enables Windows-based programs to create, access, and modify Internet-based files. If this service is stopped, these functions will not be available. If this service is disabled, any services that explicitly depend on it will fail to start."
"WinDefend","Microsoft Defender Antivirus Service","System.ServiceProcess.ServiceController[]","Helps protect users from malware and other potentially unwanted software"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","System.ServiceProcess.ServiceController[]","WinHTTP implements the client HTTP stack and provides developers with a Win32 API and COM Automation component for sending HTTP requests and receiving responses. In addition, WinHTTP provides support for auto-discovering a proxy configuration via its implementation of the Web Proxy Auto-Discovery (WPAD) protocol."
"Winmgmt","Windows Management Instrumentation","System.ServiceProcess.ServiceController[]","Provides a common interface and object model to access management information about operating system, devices, applications and services. If this service is stopped, most Windows-based software will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start."
"WpnService","Windows Push Notifications System Service","System.ServiceProcess.ServiceController[]","This service runs in session 0 and hosts the notification platform and connection provider which handles the connection between the device and WNS server."
"WpnUserService_11153f","WpnUserService_11153f","System.ServiceProcess.ServiceController[]","This service hosts the Windows notification platform which provides support for local and push notifications. Supported notifications are tile, toast and raw."
"wscsvc","Security Center","System.ServiceProcess.ServiceController[]","The WSCSVC (Windows Security Center) service monitors and reports security health settings on the computer.  The health settings include firewall (on/off), antivirus (on/off/out of date), antispyware (on/off/out of date), Windows Update (automatically/manually download and install updates), User Account Control (on/off), and Internet settings (recommended/not recommended). The service provides COM APIs for independent software vendors to register and record the state of their products to the Security Center service.  The Security and Maintenance UI uses the service to provide systray alerts and a graphical view of the security health states in the Security and Maintenance control panel.  Network Access Protection (NAP) uses the service to report the security health states of clients to the NAP Network Policy Server to make network quarantine decisions.  The service also has a public API that allows external consumers to programmatically retrieve the aggregated security health state of the system."
"WSearch","Windows Search","System.ServiceProcess.ServiceController[]","Provides content indexing, property caching, and search results for files, e-mail, and other content."
"WTabletServicePro","Wacom Professional Service","System.ServiceProcess.ServiceController[]","Driver for Wacom Tablets"
